ICO_Firmy;nazev_firmy;adresa_firmy;email_zamestance;jmeno_zamestance;prijmeni_zamestance;datum_aktualizace
63675013;Firma 1;Pražská 24 Nové Město 110 00 Praha 1;zamestanec1@mail.com;Jiří;Nováková;22.10.2021
63675036;Firma 2;Dolova 1 Nové Město 110 00 Praha 2;zamestanec2@mail.com;Jan;Novák;27.10.2021
63675059;Firma 3;kpt. Jaroše 2345 Nové Město 110 00 Praha 3;zamestanec3@mail.com;Petr;Svobodová;23.10.2020
63675082;Firma 4;Borchova 2134 Nové Město 110 00 Praha 4;zamestanec4@mail.com;Jana;Svoboda;23.10.2020
63675105;Firma 5;Tkalcovská 177/8 Nové Město 110 00 Praha 5;zamestanec5@mail.com;Marie;Novotná;30.10.2020
63675128;Firma 6;Na soutoku 2480 Nové Město 110 00 Praha 6;zamestanec6@mail.com;Josef;Novotný;06.11.2020
63675151;Firma 7;Horní 178 Nové Město 110 00 Praha 7;zamestanec7@mail.com;Pavel;Dvořáková;13.11.2020
63675174;Firma 8;Jelení 145, Nové Město, 110 00 Praha 8;zamestanec8@mail.com;Martin;Dvořák;20.11.2020
63675197;Firma 9;Mokrá 123 Nové Město 110 00 Praha 9;zamestanec9@mail.com;Tomáš;Černá;27.11.2020
63675220;Firma 10;Dlouhá 234 Nové Město 110 00 Praha 10;zamestanec10@mail.com;Jaroslav;Černý;04.12.2020
63675243;Firma 11;Na soutoku 4 Nové Město 110 00 Praha 11;zamestanec11@mail.com;Eva;Procházková;11.12.2020
63675266;Firma 12;Strohá 8 Nové Město 110 00 Praha 12;zamestanec12@mail.com;Miroslav;Procházka;18.12.2020
63675289;Firma 13;Podlá 230 Nové Město 110 00 Praha 13;zamestanec13@mail.com;Hana;Kučerová;25.12.2020
63675312;Firma 14;Nová 3 Nové Město 110 00 Praha 14;zamestanec14@mail.com;Anna;Kučera;01.01.2021
63675335;Firma 15;První 313 Nové Město 110 00 Praha 15;zamestanec15@mail.com;Zdeněk;Veselá;08.01.2021
63675358;Firma 16;Modrá 1233 Nové Město 110 00 Praha 16;zamestanec16@mail.com;Václav;Veselý;15.01.2021
63675381;Firma 17;Rybí 23 Nové Město 110 00 Praha 17;zamestanec17@mail.com;Michal;Horáková;22.01.2021
63675404;Firma 18;Hezká 23 Nové Město 110 00 Praha 18;zamestanec18@mail.com;František;Krejčí;29.01.2021
63675427;Firma 19;Rybí 23 Nové Město 110 00 Praha 19;zamestanec19@mail.com;Lenka;Horák;05.02.2021
63675450;Firma 20;Dolní Květ 341 Nové Město 110 00 Praha 20;zamestanec20@mail.com;Kateřina;Němcová;12.02.2021
63675473;Firma 21;Ulice 2134 Nové Město 110 00 Praha 21;zamestanec21@mail.com;Lucie;Marková;19.02.2021
63675496;Firma 22;Totální 13546  Nové Město 110 00 Praha 22;zamestanec22@mail.com;Jakub;Němec;26.02.2021
63675519;Firma 23;Olomoucká 965 Nové Město 110 00 Praha 23;zamestanec23@mail.com;Milan;Pokorná;05.03.2021
63675542;Firma 24;Kravská 153 Nové Město 110 00 Praha 24;zamestanec24@mail.com;Věra;Pospíšilová;12.03.2021
63675565;Firma 25;Krmelín 1545  Nové Město 110 00 Praha 25;zamestanec25@mail.com;Alena;Marek;19.03.2021
63675565;Firma 25;Krmelín 1545  Nové Město 110 00 Praha 25;zamestanec25@mail.com;Alena;Marek;19.03.2021
63675565;Firma 25;Krmelín 1545  Nové Město 110 00 Praha 25;zamestanec25@mail.com;Alena;Veselý;19.03.2021
63675565;Firma 25;Krmelín 1545  Nové Město 110 00 Praha 25;zamestanec25@mail.com;Alena;Marek;19.03.2021
63675565;Firma 25;Krmelín 1545  Nové Město 110 00 Praha 25;zamestanec25@mail.com;Alena;Veselý;19.03.2021
